Azanicada zuluensis,0,Cicadidae
Brevisiana brevis,0,Cicadidae
Chorthippus biguttulus,0,Orthoptera
Chorthippus brunneus,0,Orthoptera
Gryllus campestris,0,Orthoptera
Kikihia muta,0,Cicadidae
Myopsalta leona,0,Cicadidae
Myopsalta longicauda,0,Cicadidae
Myopsalta mackinlayi,0,Cicadidae
Myopsalta melanobasis,0,Cicadidae
Myopsalta xerograsidia,0,Cicadidae
Nemobius sylvestris,0,Orthoptera
Oecanthus pellucens,0,Orthoptera
Pholidoptera griseoaptera,0,Orthoptera
Platypleura capensis,0,Cicadidae
Platypleura cfcatenata,0,Cicadidae
Platypleura chalybaea,0,Cicadidae
Platypleura deusta,0,Cicadidae
Platypleura divisa,0,Cicadidae
Platypleura haglundi,0,Cicadidae
Platypleura hirtipennis,0,Cicadidae
Platypleura intercapedinis,0,Cicadidae
Platypleura plumosa,0,Cicadidae
Platypleura sp04,0,Cicadidae
Platypleura sp10,0,Cicadidae
Platypleura sp11 cfhirtipennis,0,Cicadidae
Platypleura sp12 cfhirtipennis,0,Cicadidae
Platypleura sp13,0,Cicadidae
Pseudochorthippus parallelus,0,Orthoptera
Pycna semiclara,0,Cicadidae
Roeseliana roeselii,0,Orthoptera
Tettigonia viridissima,0,Orthoptera
